FoliageArthID,BeatSheetFK,TaxonLevel,Taxon,TotalMass,TaxonID,NumberWeighed,TreeFK,Date,Checks
118574,138834,family,Anyphaenidae,0.5,871515,1,IRU,6/20/2022,1
118595,138854,family,Bostrichidae,0.8,114476,1,ISD,6/20/2022,1
118648,138880,genus,Formica,6,154211,1,ISJ,6/20/2022,1
118654,138884,genus,Formica,6.8,154211,1,ISL,6/20/2022,1
112196,135201,family,Ptinidae,1.5,114472,1,FDQ,6/1/2022,1
112207,135207,genus,Formica,6,154211,1,FDN,6/1/2022,1
112224,135218,genus,Paratrechina,3.7,154224,1,FDO,6/1/2022,1
124225,142463,species,Brachyponera chinensis,1.2,1,1,JBL,7/7/2022,1
124948,142880,family,Anyphaenidae,1.2,871515,1,DCG,7/8/2022,1
125053,142975,family,Anyphaenidae,NA,871515,0,JAU,7/9/2022,1
125260,143139,family,Anyphaenidae,4.7,871515,1,ISC,7/10/2022,1
125264,143142,family,Anyphaenidae,1.1,871515,1,IRT,7/10/2022,1
127076,144413,family,Anyphaenidae,1.9,871515,1,CNA,7/16/2022,1
217722,138333,family,Anyphaenidae,0.4,871515,NA,JAP,6/16/2022,1
127879,145133,family,Anyphaenidae,NA,871515,0,CNH,7/20/2022,1
105246,131129,order,Araneae,0.7,,1,BWW,5/2/2022,2
105258,131139,family,Theridiidae,4,,1,BXR,5/2/2022,2
105271,131151,genus,Leucauge,6,847764,2,FDN,5/3/2022,2
105299,131170,family,Araneidae,2.5,82737,1,FEK,5/3/2022,2
105447,131329,family,Tetragnathidae,3.1,847764,1,BYQ,5/6/2022,1
105519,131423,family,Tetragnathidae,17,847764,1,DBL,5/8/2022,1
105527,131429,family,Araneidae,0.6,82737,1,DCE,5/8/2022,1
105532,131434,family,Araneidae,0.8,82737,1,DCI,5/8/2022,1
105543,131439,family,Araneidae,0.7,82737,1,DCM,5/8/2022,1
105771,131631,family,Araneidae,3.3,82737,1,DCO,5/12/2022,NA
106025,131883,family,Tetragnathidae,0.1,847764,1,JAQ,5/15/2022,1
106041,131890,family,Araneidae,1.5,82737,1,JAX,5/15/2022,1
106043,131893,family,Tetragnathidae,11.7,847764,1,JBB,5/15/2022,1
106187,131999,family,Araneidae,1.3,82737,1,IRY,5/16/2022,1
206193,132004,family,Tetragnathidae,3.4,847764,1,ISE,5/16/2022,1
106196,132005,family,Araneidae,0.5,82737,1,ISH,5/16/2022,1
106481,132214,family,Araneidae,5.5,82737,1,JBM,5/17/2022,1
106551,132250,family,Araneidae,1.2,82737,1,JAS,5/17/2022,1
106780,132406,family,Araneidae,0.8,82737,1,ISL,5/18/2022,1
106848,132453,family,Araneidae,1.7,82737,1,IRQ,5/18/2022,1
107323,132721,family,Araneidae,0.5,82737,1,JAN,5/19/2022,1
107334,132726,family,Araneidae,4.1,82737,1,JAU,5/19/2022,1
107351,132732,family,Araneidae,1.7,82737,1,JAR,5/19/2022,1
107358,132736,family,Araneidae,6.2,82737,1,JAX,5/19/2022,1
207363,232739,family,Theridiidae,0.5,82740,1,JBC,5/19/2022,1
107962,133019,family,Araneidae,2.6,82737,1,IRP,5/20/2022,1
107966,133022,family,Theridiidae,0.9,82740,1,IRW,5/20/2022,1
108017,133045,family,Araneidae,1.8,82737,1,ISI,5/20/2022,1
108234,133245,family,Araneidae,1,82737,1,CLX,5/22/2022,1
109853,133996,family,Araneidae,0.6,82737,1,CLQ,5/26/2022,1
110712,134419,family,Theridiidae,1.6,82740,1,BYX,5/27/2022,1
110982,134565,family,Tetragnathidae,7.7,847764,1,FEY,5/28/2022,1
110984,134566,family,Theridiidae,2.7,82740,1,FEX,5/28/2022,1
110990,134567,family,Tetragnathidae,NA,847764,0,FEW,5/28/2022,1
110991,134568,family,Araneidae,18.2,82737,1,FEV,5/28/2022,1
110996,134568,family,Araneidae,2.5,82737,1,FEV,5/28/2022,1
111043,134601,family,Araneidae,1.8,82737,1,FDN,5/28/2022,1
111046,134602,family,Araneidae,0,82737,1,FDP,5/28/2022,1
111106,134632,family,Tetragnathidae,0.7,847764,1,BYT,5/29/2022,1
111149,134674,family,Araneidae,2.2,82737,1,FEJ,5/30/2022,1
111155,134676,family,Araneidae,2.2,82737,1,FEH,5/30/2022,1
111173,134691,family,Araneidae,0.6,82737,1,FEZ,5/30/2022,1
112125,135170,genus,Leucauge,6.2,848656,1,FDV,6/1/2022,1
112169,135189,genus,Leucauge,8.4,848656,1,FDZ,6/1/2022,1
112170,135189,family,Araneidae,2.4,82737,2,FDZ,6/1/2022,1
114027,136189,family,Araneidae,0.9,82737,1,DCO,6/6/2022,1
115772,137193,family,Araneidae,0.9,82737,1,DCO,6/10/2022,1
115782,137200,family,Theridiidae,5.9,82740,1,EQL,6/10/2022,1
115931,137319,family,Araneidae,2.9,82737,1,JAZ,6/12/2022,1
115937,137320,family,Araneidae,0.4,82737,1,JBA,6/12/2022,1
115942,137321,family,Araneidae,3.5,82737,1,JBB,6/12/2022,1
116873,137859,family,Theridiidae,0.7,82740,1,JAL,6/14/2022,1
116892,137866,species,Verrucosa arenata,4.4,870185,1,JAR,6/14/2022,1
116900,137872,family,Araneidae,7.1,82737,1,JAW,6/14/2022,1
116923,137886,family,Araneidae,3.5,82737,1,JBE,6/14/2022,1
117667,138308,family,Araneidae,2.8,82737,1,JAT,6/16/2022,1
118541,138816,family,Araneidae,3.4,82737,1,IRQ,6/20/2022,1
120848,140138,family,Araneidae,6.7,82737,1,IRP,6/24/2022,1
120997,140257,family,Araneidae,43.4,82737,1,CNA,6/25/2022,1
122902,141492,family,Araneidae,NA,82737,0,BWQ,7/1/2022,NA
127069,144409,family,Araneidae,2.6,82737,1,CMZ,7/16/2022,1
