"TaxonID","taxon","class","order","suborder","family","subfamily","genus","species"
"109234","Carabidae","Insecta","Coleoptera","Adephaga","Carabidae",NA,NA,NA
"849078","Pardosa","Euchelicerata","Araneae",NA,"Lycosidae",NA,"Pardosa",NA
"657701","Gryllus","Insecta","Orthoptera","Ensifera","Gryllidae","Gryllinae","Gryllus",NA
"154416","Polydesmida","Diplopoda","Polydesmida",NA,NA,NA,NA,NA
"574195","Hypoponera","Insecta","Hymenoptera","Apocrita","Formicidae","Ponerinae","Hypoponera",NA
"569659","Narceus americanus","Diplopoda","Spirobolida",NA,"Spirobolidae","Spirobolinae","Narceus","Narceus americanus"
"678393","Trogossitidae","Insecta","Coleoptera","Polyphaga","Trogossitidae",NA,NA,NA
"121316","Bibionidae","Insecta","Diptera","Nematocera","Bibionidae",NA,NA,NA
"875557","Castianeira longipalpa","Euchelicerata","Araneae",NA,"Corinnidae",NA,"Castianeira","Castianeira longipalpa"
"621184","Armadilloidea","Malacostraca","Isopoda","Oniscidea",NA,NA,NA,NA
"114290","Nitidulidae","Insecta","Coleoptera","Polyphaga","Nitidulidae",NA,NA,NA
"150025","Muscidae","Insecta","Diptera","Brachycera","Muscidae",NA,NA,NA
"574150","Stenamma","Insecta","Hymenoptera","Apocrita","Formicidae","Myrmicinae","Stenamma",NA
"568964","Siphonophorida","Diplopoda","Siphonophorida",NA,NA,NA,NA,NA
"114493","Scarabaeidae","Insecta","Coleoptera","Polyphaga","Scarabaeidae",NA,NA,NA
"1117840","Arachnida","Euchelicerata",NA,NA,NA,NA,NA,NA
"914213","Holometabola","Insecta",NA,NA,NA,NA,NA,NA
"154245","Tetramorium","Insecta","Hymenoptera","Apocrita","Formicidae","Myrmicinae","Tetramorium",NA
"563885","Myriapoda",NA,NA,NA,NA,NA,NA,NA
"594387","Armadillidium nasatum","Malacostraca","Isopoda","Oniscidea","Armadillidiidae",NA,"Armadillidium","Armadillidium nasatum"
"99225","Machilidae","Insecta","Archaeognatha",NA,"Machilidae",NA,NA,NA
"1014189","Vonones sayi","Euchelicerata","Opiliones","Laniatores","Cosmetidae","Cosmetinae","Vonones","Vonones sayi"
"887078","Phrurotimpus alarius","Euchelicerata","Araneae",NA,"Corinnidae",NA,"Phrurotimpus","Phrurotimpus alarius"
"154310","Sphecidae","Insecta","Hymenoptera","Apocrita","Sphecidae",NA,NA,NA
"154419","Spirobolida","Diplopoda","Spirobolida",NA,NA,NA,NA,NA
"206377","Philoscia muscorum","Malacostraca","Isopoda","Oniscidea","Philosciidae",NA,"Philoscia","Philoscia muscorum"
"93250","Armadillidium vulgare","Malacostraca","Isopoda","Oniscidea","Armadillidiidae",NA,"Armadillidium","Armadillidium vulgare"
"146185","Drosophilidae","Insecta","Diptera","Brachycera","Drosophilidae",NA,NA,NA
"136824","Dolichopodidae","Insecta","Diptera","Brachycera","Dolichopodidae",NA,NA,NA
"575746","Camponotus castaneus","Insecta","Hymenoptera","Apocrita","Formicidae","Formicinae","Camponotus","Camponotus castaneus"
"154237","Solenopsis","Insecta","Hymenoptera","Apocrita","Formicidae","Myrmicinae","Solenopsis",NA
"186036","Forficula auricularia","Insecta","Dermaptera","Eudermaptera","Forficulidae","Forficulinae","Forficula","Forficula auricularia"
"109602","Scarites","Insecta","Coleoptera","Adephaga","Carabidae","Scaritinae","Scarites",NA
"102460","Carcinophoridae","Insecta","Dermaptera","Catadermaptera","Carcinophoridae",NA,NA,NA
"93269","Porcellio scaber","Malacostraca","Isopoda","Oniscidea","Porcellionidae",NA,"Porcellio","Porcellio scaber"
"154409","Diplopoda","Diplopoda",NA,NA,NA,NA,NA,NA
"583962","Ponera pennsylvanica","Insecta","Hymenoptera","Apocrita","Formicidae","Ponerinae","Ponera","Ponera pennsylvanica"
"114328","Corylophidae","Insecta","Coleoptera","Polyphaga","Corylophidae",NA,NA,NA
"111436","Chlaenius","Insecta","Coleoptera","Adephaga","Carabidae","Harpalinae","Chlaenius",NA
"926453","Phyllophaga","Insecta","Coleoptera","Polyphaga","Scarabaeidae","Melolonthinae","Phyllophaga",NA
"573831","Ponerinae","Insecta","Hymenoptera","Apocrita","Formicidae","Ponerinae",NA,NA
"130346","Ptecticus","Insecta","Diptera","Brachycera","Stratiomyidae","Sarginae","Ptecticus",NA
"154420","Spirostreptida","Diplopoda","Spirostreptida",NA,NA,NA,NA,NA
"849140","Pirata","Euchelicerata","Araneae",NA,"Lycosidae",NA,"Pirata",NA
"108566","Cyrtomenus","Insecta","Hemiptera","Heteroptera","Cydnidae","Cydninae","Cyrtomenus",NA
"111751","Galerita bicolor","Insecta","Coleoptera","Adephaga","Carabidae","Harpalinae","Galerita","Galerita bicolor"
"118840","Tipulidae","Insecta","Diptera","Nematocera","Tipulidae",NA,NA,NA
"1012885","Vonones","Euchelicerata","Opiliones","Laniatores","Cosmetidae","Cosmetinae","Vonones",NA
"117236","Lycaenidae","Insecta","Lepidoptera",NA,"Lycaenidae",NA,NA,NA
"574031","Aphaenogaster","Insecta","Hymenoptera","Apocrita","Formicidae","Myrmicinae","Aphaenogaster",NA
"568965","Callipodida","Diplopoda","Callipodida",NA,NA,NA,NA,NA
"109589","Pasimachus","Insecta","Coleoptera","Adephaga","Carabidae","Scaritinae","Pasimachus",NA
"871532","Oxyopidae","Euchelicerata","Araneae",NA,"Oxyopidae",NA,NA,NA
"102162","Tetrigidae","Insecta","Orthoptera","Caelifera","Tetrigidae",NA,NA,NA
"1","Microtonus sericans","Insecta","Coleoptera","Polyphaga","Melandryidae","Melandryinae","Microtonus","Microtonus sericans"
"2","Isomira pulla","Insecta","Coleoptera","Polyphaga","Tenebrionidae","Alleculinae","Isomira","Isomira pulla"
"3","Isomira sericea","Insecta","Coleoptera","Polyphaga","Tenebrionidae","Alleculinae","Isomira","Isomira sericea"
"4","Isomira","Insecta","Coleoptera","Polyphaga","Tenebrionidae","Alleculinae","Isomira",NA
"5","Grylloprociphilus imbricator","Insecta","Hemiptera","Sternorrhyncha","Aphididae","Eriosomatinae","Grylloprociphilus","Grylloprociphilus imbricator"
"6","Horistonotus curiatus","Insecta","Coleoptera","Polyphaga","Elateridae","Cardiophorinae","Horistonotus","Horistonotus curiatus"
"7","Lycoptis americana","Insecta","Coleoptera","Polyphaga","Trogossitidae",NA,"Lycoptis","Lycoptis americana"
"8","Platydracus","Insecta","Coleoptera","Polyphaga","Staphylinidae","Staphylininae","Platydracus",NA
"9","Temnothorax","Insecta","Hymenoptera",NA,"Formicidae","Myrmicinae","Temnothorax",NA
"10","Ectobiidae","Insecta","Blattodea",NA,"Ectobiidae",NA,NA,NA
"11","Brachyponera chinensis","Insecta","Hymenoptera",NA,"Formicidae","Ponerinae","Brachyponera","Brachyponera chinensis"
"881016","Hentzia mitrata","Euchelicerata","Araneae",NA,"Salticidae",NA,"Hentzia","Hentzia mitrata"
