TaxonID,taxon,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,genus,species,subfamily,tribe,subgenus,subtribe
847764,Tetragnathidae,Euchelicerata,Arachnida,NA,NA,Araneae,NA,NA,NA,Tetragnathidae,NA,NA,NA,NA,NA,NA
678391,Latridiidae,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Cucujiformia,Coccinelloidea,Latridiidae,NA,NA,NA,NA,NA,NA
871537,Salticidae,Euchelicerata,Arachnida,NA,NA,Araneae,NA,NA,NA,Salticidae,NA,NA,NA,NA,NA,NA
107642,Berytidae,Insecta,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Pentatomomorpha,Lygaeoidea,Berytidae,NA,NA,NA,NA,NA,NA
114345,Chilocorus stigma,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Cucujiformia,Coccinelloidea,Coccinellidae,Chilocorus,Chilocorus stigma,Chilocorinae,NA,NA,NA
998435,Psocodea,Insecta,Pterygota,Neoptera,Paraneoptera,Psocodea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107375,Zelus luridus,Insecta,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Cimicomorpha,Reduvoidea,Reduviidae,Zelus,Zelus luridus,Harpactorinae,Harpactorini,NA,NA
104063,Saldidae,Insecta,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Leptopodomorpha,Saldoidea,Saldidae,NA,NA,NA,NA,NA,NA
104419,Miridae,Insecta,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Cimicomorpha,Miroidea,Miridae,NA,NA,NA,NA,NA,NA
82737,Araneidae,Euchelicerata,Arachnida,NA,NA,Araneae,NA,NA,NA,Araneidae,NA,NA,NA,NA,NA,NA
115095,Trichoptera,Insecta,Pterygota,Neoptera,Holometabola,Trichoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103358,Heteroptera,Insecta,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,NA,NA,NA,NA,NA,NA,NA,NA,NA
114383,Mordellidae,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Cucujiformia,Tenebrionoidea,Mordellidae,NA,NA,NA,NA,NA,NA
114509,Chrysomelidae,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Cucujiformia,Chrysomeloidea,Chrysomelidae,NA,NA,NA,NA,NA,NA
113879,Elateridae,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,NA,NA,NA,NA,NA,NA
117232,Lepidoptera,Insecta,Pterygota,Neoptera,Holometabola,Lepidoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
577971,Prenolepis imparis,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Aculeata,Vespoidea,Formicidae,Prenolepis,Prenolepis imparis,Formicinae,Lasiini,NA,NA
1014097,Odiellus pictus,Euchelicerata,Arachnida,NA,NA,Opiliones,Eupnoi,NA,Phalangioidea,Phalangiidae,Odiellus,Odiellus pictus,NA,NA,NA,NA
904027,Arrenodes minutus,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Cucujiformia,Curculionoidea,Brentidae,Arrenodes,Arrenodes minutus,Brentinae,Arrhenodini,NA,NA
113852,Cleridae,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Cucujiformia,Cleroidea,Cleridae,NA,NA,NA,NA,NA,NA
114419,Tenebrionidae,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Cucujiformia,Tenebrionoidea,Tenebrionidae,NA,NA,NA,NA,NA,NA
114666,Curculionidae,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Cucujiformia,Curculionoidea,Curculionidae,NA,NA,NA,NA,NA,NA
114472,Ptinidae,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Bostrichiformia,Bostrichoidea,Ptinidae,NA,NA,NA,NA,NA,NA
109167,Auchenorrhyncha,Insecta,Pterygota,Neoptera,Paraneoptera,Hemiptera,Auchenorrhyncha,NA,NA,NA,NA,NA,NA,NA,NA,NA
154193,Formicidae,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Aculeata,Vespoidea,Formicidae,NA,NA,NA,NA,NA,NA
109171,Cicadellidae,Insecta,Pterygota,Neoptera,Paraneoptera,Hemiptera,Auchenorrhyncha,Cicadomorpha,Membracoidea,Cicadellidae,NA,NA,NA,NA,NA,NA
114968,Buprestidae,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Elateriformia,Buprestoidea,Buprestidae,NA,NA,NA,NA,NA,NA
573923,Forelius,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Aculeata,Vespoidea,Formicidae,Forelius,NA,Dolichoderinae,NA,NA,NA
109170,Membracidae,Insecta,Pterygota,Neoptera,Paraneoptera,Hemiptera,Auchenorrhyncha,Cicadomorpha,Membracoidea,Membracidae,NA,NA,NA,NA,NA,NA
106812,Rhinocapsus vanduzeei,Insecta,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Cimicomorpha,Miroidea,Miridae,Rhinocapsus,Rhinocapsus vanduzeei,Phylinae,Phylini,NA,NA
100502,Ephemeroptera,Insecta,Pterygota,Palaeoptera,NA,Ephemeroptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113869,Melyridae,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Cucujiformia,Cleroidea,Melyridae,NA,NA,NA,NA,NA,NA
154224,Paratrechina,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Aculeata,Vespoidea,Formicidae,Paratrechina,NA,Formicinae,Lasiini,NA,NA
102914,Perlidae,Insecta,Pterygota,Neoptera,Polyneoptera,Plecoptera,Systellognatha,NA,NA,Perlidae,NA,NA,NA,NA,NA,NA
152741,Hymenoptera,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114329,Coccinellidae,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Cucujiformia,Coccinelloidea,Coccinellidae,NA,NA,NA,NA,NA,NA
154211,Formica,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Aculeata,Vespoidea,Formicidae,Formica,NA,Formicinae,Formicini,NA,NA
809008,Ptosima gibbicollis,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Elateriformia,Buprestoidea,Buprestidae,Ptosima,Ptosima gibbicollis,Polycestinae,Ptosimini,NA,NA
127917,Chironomidae,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,NA,NA,NA,NA,NA,NA
154008,Eurytomidae,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Terebrantes,Chalcidoidea,Eurytomidae,NA,NA,NA,NA,NA,NA
147644,Chloropidae,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Brachycera,Muscomorpha,NA,Chloropidae,NA,NA,NA,NA,NA,NA
152867,Braconidae,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Terebrantes,Ichneumonoidea,Braconidae,NA,NA,NA,NA,NA,NA
132394,Asilidae,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Brachycera,Muscomorpha,NA,Asilidae,NA,NA,NA,NA,NA,NA
114452,Melandryidae,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Cucujiformia,Tenebrionoidea,Melandryidae,NA,NA,NA,NA,NA,NA
108764,Banasa calva,Insecta,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Pentatomomorpha,Pentatomoidea,Pentatomidae,Banasa,Banasa calva,Pentatominae,Pentatomini,NA,NA
573918,Dolichoderus,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Aculeata,Vespoidea,Formicidae,Dolichoderus,NA,Dolichoderinae,NA,NA,NA
125930,Culicidae,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Culicidae,NA,NA,NA,NA,NA,NA
142604,Tephritidae,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Brachycera,Muscomorpha,NA,Tephritidae,NA,NA,NA,NA,NA,NA
678511,Cetoniinae,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Scarabeiformia,Scarabaeoidea,Scarabaeidae,NA,NA,Cetoniinae,NA,NA,NA
102363,Oecanthus,Insecta,Pterygota,Neoptera,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Oecanthidae,Oecanthus,NA,Oecanthinae,NA,NA,NA
1012454,Phalangiidae,Euchelicerata,Arachnida,NA,NA,Opiliones,Eupnoi,NA,Phalangioidea,Phalangiidae,NA,NA,NA,NA,NA,NA
102281,Gryllidae,Insecta,Pterygota,Neoptera,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,NA,NA,NA,NA,NA,NA
108529,Boisea trivittata,Insecta,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Pentatomomorpha,Coreoidea,Rhopalidae,Boisea,Boisea trivittata,Serinethinae,NA,NA,NA
871518,Clubionidae,Euchelicerata,Arachnida,NA,NA,Araneae,NA,NA,NA,Clubionidae,NA,NA,NA,NA,NA,NA
103251,Perlesta,Insecta,Pterygota,Neoptera,Polyneoptera,Plecoptera,Systellognatha,NA,NA,Perlidae,Perlesta,NA,Acroneuriinae,Acroneuriini,NA,NA
834498,Rhagonycha mollis,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Cantharidae,Rhagonycha,Rhagonycha mollis,Cantharinae,Cantharini,Rhagonycha (Spartiolepta),NA
113837,Cantharidae,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Cantharidae,NA,NA,NA,NA,NA,NA
113265,Staphylinidae,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Staphyliniformia,Staphylinoidea,Staphylinidae,NA,NA,NA,NA,NA,NA
115080,Hemerobiidae,Insecta,Pterygota,Neoptera,Neuropterida,Neuroptera,Hemerobiiformia,NA,NA,Hemerobiidae,NA,NA,NA,NA,NA,NA
82740,Theridiidae,Euchelicerata,Arachnida,NA,NA,Araneae,NA,NA,NA,Theridiidae,NA,NA,NA,NA,NA,NA
103359,Hemiptera,Insecta,Pterygota,Neoptera,Paraneoptera,Hemiptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
834309,Rhagonycha,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Cantharidae,Rhagonycha,NA,Cantharinae,Cantharini,NA,NA
109185,Sternorrhyncha,Insecta,Pterygota,Neoptera,Paraneoptera,Hemiptera,Sternorrhyncha,NA,NA,NA,NA,NA,NA,NA,NA,NA
104177,Tingidae,Insecta,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Cimicomorpha,Miroidea,Tingidae,NA,NA,NA,NA,NA,NA
114387,Meloidae,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Cucujiformia,Tenebrionoidea,Meloidae,NA,NA,NA,NA,NA,NA
109173,Fulgoroidea,Insecta,Pterygota,Neoptera,Paraneoptera,Hemiptera,Auchenorrhyncha,Fulgoromorpha,Fulgoroidea,NA,NA,NA,NA,NA,NA,NA
152643,Tachinidae,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Brachycera,Muscomorpha,NA,Tachinidae,NA,NA,NA,NA,NA,NA
121315,Plecia nearctica,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Bibionomorpha,NA,Pleciidae,Plecia,Plecia nearctica,NA,NA,NA,NA
666619,Mantis religiosa,Insecta,Pterygota,Neoptera,Polyneoptera,Mantodea,Mantodea,NA,NA,Mantidae,Mantis,Mantis religiosa,NA,NA,NA,NA
153968,Torymidae,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Terebrantes,Chalcidoidea,Torymidae,NA,NA,NA,NA,NA,NA
115081,Chrysopidae,Insecta,Pterygota,Neoptera,Neuropterida,Neuroptera,Hemerobiiformia,NA,NA,Chrysopidae,NA,NA,NA,NA,NA,NA
834312,Malthinus,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Cantharidae,Malthinus,NA,Malthininae,Malthinini,NA,NA
721722,Emesinae,Insecta,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Cimicomorpha,Reduvoidea,Reduviidae,NA,NA,Emesinae,NA,NA,NA
102456,Forficulidae,Insecta,Pterygota,Neoptera,Polyneoptera,Dermaptera,Eudermaptera,NA,Forficuloidea,Forficulidae,NA,NA,NA,NA,NA,NA
99237,Collembola,Collembola,NA,NA,NA,Collembola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125351,Psychodidae,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Psychodomorpha,NA,Psychodidae,NA,NA,NA,NA,NA,NA
130150,Stratiomyidae,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Brachycera,Stratiomyomorpha,NA,Stratiomyidae,NA,NA,NA,NA,NA,NA
152747,Pamphiliidae,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Symphyta,NA,Pamphilioidea,Pamphiliidae,NA,NA,NA,NA,NA,NA
103350,Aeolothripidae,Insecta,Pterygota,Neoptera,Paraneoptera,Thysanoptera,Terebrantia,NA,NA,Aeolothripidae,NA,NA,NA,NA,NA,NA
692602,Harmonia axyridis,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Cucujiformia,Coccinelloidea,Coccinellidae,Harmonia,Harmonia axyridis,Coccinellinae,NA,NA,NA
154021,Chalcididae,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Terebrantes,Chalcidoidea,Chalcididae,NA,NA,NA,NA,NA,NA
153770,Eulophidae,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Terebrantes,Chalcidoidea,Eulophidae,NA,NA,NA,NA,NA,NA
109179,Fulgoridae,Insecta,Pterygota,Neoptera,Paraneoptera,Hemiptera,Auchenorrhyncha,Fulgoromorpha,Fulgoroidea,Fulgoridae,NA,NA,NA,NA,NA,NA
114273,Ptilodactyla,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Elateriformia,Byrrhoidea,Ptilodactylidae,Ptilodactyla,NA,Ptilodactylinae,NA,NA,NA
574209,Ponera,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Aculeata,Vespoidea,Formicidae,Ponera,NA,Ponerinae,Ponerini,NA,NA
118832,Nematocera,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,NA,NA,NA,NA,NA,NA,NA,NA,NA
678807,Cryptocephalinae,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Cucujiformia,Chrysomeloidea,Chrysomelidae,NA,NA,Cryptocephalinae,NA,NA,NA
82753,Opiliones,Euchelicerata,Arachnida,NA,NA,Opiliones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
678376,Stenotrachelidae,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Cucujiformia,Tenebrionoidea,Stenotrachelidae,NA,NA,NA,NA,NA,NA
114999,Neuroptera,Insecta,Pterygota,Neoptera,Neuropterida,Neuroptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103348,Thysanoptera,Insecta,Pterygota,Neoptera,Paraneoptera,Thysanoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
928929,Popillia japonica,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Scarabeiformia,Scarabaeoidea,Scarabaeidae,Popillia,Popillia japonica,Rutelinae,Anomalini,NA,Popilliina
152650,Lipoptena,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Brachycera,Muscomorpha,NA,Hippoboscidae,Lipoptena,NA,Hippoboscinae,Lipoptenini,NA,NA
692589,Psyllobora vigintimaculata,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Cucujiformia,Coccinelloidea,Coccinellidae,Psyllobora,Psyllobora vigintimaculata,Coccinellinae,NA,NA,NA
872750,Peckhamia,Euchelicerata,Arachnida,NA,NA,Araneae,NA,NA,NA,Salticidae,Peckhamia,NA,NA,NA,NA,NA
678830,Scolytinae,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Cucujiformia,Curculionoidea,Curculionidae,NA,NA,Scolytinae,NA,NA,NA
107202,Reduviidae,Insecta,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Cimicomorpha,Reduvoidea,Reduviidae,NA,NA,NA,NA,NA,NA
108628,Pentatomidae,Insecta,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Pentatomomorpha,Pentatomoidea,Pentatomidae,NA,NA,NA,NA,NA,NA
914220,Mantodea,Insecta,Pterygota,Neoptera,Polyneoptera,Mantodea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99208,Insecta,Insecta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102160,Orthoptera,Insecta,Pterygota,Neoptera,Polyneoptera,Orthoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153360,Ichneumonidae,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Terebrantes,Ichneumonoidea,Ichneumonidae,NA,NA,NA,NA,NA,NA
848656,Leucauge,Euchelicerata,Arachnida,NA,NA,Araneae,NA,NA,NA,Tetragnathidae,Leucauge,NA,NA,NA,NA,NA
657454,Acrididea,Insecta,Pterygota,Neoptera,Polyneoptera,Orthoptera,Caelifera,Acrididea,NA,NA,NA,NA,NA,NA,NA,NA
650554,Phyllopalpus pulchellus,Insecta,Pterygota,Neoptera,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Trigonidiidae,Phyllopalpus,Phyllopalpus pulchellus,Trigonidiinae,NA,NA,NA
956002,Prosapia bicincta,Insecta,Pterygota,Neoptera,Paraneoptera,Hemiptera,Auchenorrhyncha,Cicadomorpha,Cercopoidea,Cercopidae,Prosapia,Prosapia bicincta,Cercopinae,NA,NA,NA
114497,Cerambycidae,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Cucujiformia,Chrysomeloidea,Cerambycidae,NA,NA,NA,NA,NA,NA
117318,Noctuidae,Insecta,Pterygota,Neoptera,Holometabola,Lepidoptera,NA,NA,Noctuoidea,Noctuidae,NA,NA,NA,NA,NA,NA
870185,Verrucosa arenata,Euchelicerata,Arachnida,NA,NA,Araneae,NA,NA,NA,Araneidae,Verrucosa,Verrucosa arenata,NA,NA,NA,NA
154198,Camponotus pennsylvanicus,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Aculeata,Vespoidea,Formicidae,Camponotus,Camponotus pennsylvanicus,Formicinae,Camponotini,NA,NA
109186,Psylloidea,Insecta,Pterygota,Neoptera,Paraneoptera,Hemiptera,Sternorrhyncha,NA,Psylloidea,NA,NA,NA,NA,NA,NA,NA
114476,Bostrichidae,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Bostrichiformia,Bostrichoidea,Bostrichidae,NA,NA,NA,NA,NA,NA
102467,Plecoptera,Insecta,Pterygota,Neoptera,Polyneoptera,Plecoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146893,Ephydridae,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Brachycera,Muscomorpha,NA,Ephydridae,NA,NA,NA,NA,NA,NA
871519,Corinnidae,Euchelicerata,Arachnida,NA,NA,Araneae,NA,NA,NA,Corinnidae,NA,NA,NA,NA,NA,NA
847731,Lycosidae,Euchelicerata,Arachnida,NA,NA,Araneae,NA,NA,NA,Lycosidae,NA,NA,NA,NA,NA,NA
93249,Armadillidium,Malacostraca,Eumalacostraca,NA,Peracarida,Isopoda,Oniscidea,Ligiamorpha,Armadilloidea,Armadillidiidae,Armadillidium,NA,NA,NA,NA,NA
657660,Ceuthophilus,Insecta,Pterygota,Neoptera,Polyneoptera,Orthoptera,Ensifera,Tettigoniidea,Stenopelmatoidea,Rhaphidophoridae,Ceuthophilus,NA,Ceuthophilinae,NA,NA,NA
650504,Rhaphidophoridae,Insecta,Pterygota,Neoptera,Polyneoptera,Orthoptera,Ensifera,Tettigoniidea,Stenopelmatoidea,Rhaphidophoridae,NA,NA,NA,NA,NA,NA
154394,Apidae,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,NA,NA,NA,NA,NA,NA
186048,Anisolabis maritima,Insecta,Pterygota,Neoptera,Polyneoptera,Dermaptera,Catadermaptera,NA,Pygidicranoidea,Carcinophoridae,Anisolabis,Anisolabis maritima,Carcinophorinae,NA,NA,NA
114327,Cerylonidae,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Cucujiformia,Coccinelloidea,Cerylonidae,NA,NA,NA,NA,NA,NA
108550,Cydnidae,Insecta,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Pentatomomorpha,Pentatomoidea,Cydnidae,NA,NA,NA,NA,NA,NA
555700,Lithobiidae,Chilopoda,Pleurostigmophora,NA,NA,Lithobiomorpha,NA,NA,NA,Lithobiidae,NA,NA,NA,NA,NA,NA
154418,Julida,Diplopoda,Helminthomorpha,NA,NA,Julida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
570770,Apheloria tigana,Diplopoda,Helminthomorpha,NA,NA,Polydesmida,Chelodesmidea,NA,NA,Xystodesmidae,Apheloria,Apheloria tigana,NA,Aphelorini,NA,NA
130052,Brachycera,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Brachycera,NA,NA,NA,NA,NA,NA,NA,NA,NA
125886,Chaoboridae,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chaoboridae,NA,NA,NA,NA,NA,NA
93267,Porcellio,Malacostraca,Eumalacostraca,NA,Peracarida,Isopoda,Oniscidea,Ligiamorpha,Armadilloidea,Porcellionidae,Porcellio,NA,NA,NA,NA,NA
684736,Trachelipus rathkii,Malacostraca,Eumalacostraca,NA,Peracarida,Isopoda,Oniscidea,Ligiamorpha,Armadilloidea,Trachelipodidae,Trachelipus,Trachelipus rathkii,NA,NA,NA,NA
109234,Carabidae,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Adephaga,NA,NA,Carabidae,NA,NA,NA,NA,NA,NA
849078,Pardosa,Euchelicerata,Arachnida,NA,NA,Araneae,NA,NA,NA,Lycosidae,Pardosa,NA,NA,NA,NA,NA
657701,Gryllus,Insecta,Pterygota,Neoptera,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllus,NA,Gryllinae,NA,NA,NA
154416,Polydesmida,Diplopoda,Helminthomorpha,NA,NA,Polydesmida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
574195,Hypoponera,Insecta,Pterygota,Neoptera,Holometabola,Hymenoptera,Apocrita,Aculeata,Vespoidea,Formicidae,Hypoponera,NA,Ponerinae,Ponerini,NA,NA
569659,Narceus americanus,Diplopoda,Helminthomorpha,NA,NA,Spirobolida,NA,NA,NA,Spirobolidae,Narceus,Narceus americanus,Spirobolinae,NA,NA,NA
678393,Trogossitidae,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Cucujiformia,Cleroidea,Trogossitidae,NA,NA,NA,NA,NA,NA
121316,Bibionidae,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Bibionomorpha,NA,Bibionidae,NA,NA,NA,NA,NA,NA
