FoliageArthID,BeatSheetFK,CCGroup,Length,Quantity,PhotoURL,CCNotes,TaxonLevel,Taxon,ITISID
105260,131140,spider,2,1,NA,NA,order,Araneae,
105261,131141,beetle,3,1,NA,NA,order,Coleoptera,
105262,131142,ant,5,1,NA,NA,family,Formicidae,
105263,131144,other,2,2,NA,Psocodea,NA,NA,
105264,131147,beetle,5,1,NA,NA,order,Coleoptera,
105265,131148,beetle,3,1,NA,NA,order,Coleoptera,
105266,131148,beetle,5,1,NA,NA,order,Coleoptera,
105267,131149,beetle,11,1,NA,NA,order,Coleoptera,
105268,131149,beetle,5,1,NA,NA,order,Coleoptera,
105269,131149,ant,2,1,NA,NA,family,Formicidae,
105270,131151,moths,3,1,NA,NA,order,Lepidoptera,
105271,131151,spider,5,1,NA,NA,order,Araneae,
105272,131151,spider,4,1,NA,NA,order,Araneae,
105273,131152,spider,4,1,NA,NA,order,Araneae,
105274,131153,ant,3,2,NA,NA,family,Formicidae,
105275,131153,beetle,2,1,NA,NA,order,Coleoptera,
105276,131154,daddylonglegs,3,1,NA,NA,order,NA,
105277,131155,ant,3,3,NA,NA,family,Formicidae,
105278,131155,beetle,11,1,NA,NA,order,Coleoptera,
105279,131155,spider,3,1,NA,NA,order,Araneae,
105280,131157,beetle,3,1,NA,NA,order,Coleoptera,
105281,131158,other,3,1,NA,Psocodea,NA,NA,
105282,131158,caterpillar,5,1,105282.jpeg,NA,order,Lepidoptera,
105283,131160,beetle,6,1,NA,NA,order,Coleoptera,
105284,131161,ant,2,2,NA,NA,family,Formicidae,
105285,131161,ant,4,1,NA,NA,family,Formicidae,
105286,131161,other,2,1,NA,Psocodea,NA,NA,
105287,131162,beetle,3,1,NA,NA,order,Coleoptera,
105288,131162,beetle,2,1,NA,NA,order,Coleoptera,
105289,131163,beetle,2,1,NA,NA,order,Coleoptera,
105290,131163,moths,3,1,NA,NA,order,Lepidoptera,
105291,131164,ant,6,1,NA,NA,family,Formicidae,
105292,131165,beetle,2,1,NA,NA,order,Coleoptera,
105293,131165,beetle,3,1,NA,NA,order,Coleoptera,
105294,131167,ant,3,2,NA,NA,family,Formicidae,
105295,131167,beetle,2,1,NA,NA,order,Coleoptera,
105296,131167,spider,5,1,NA,NA,order,Araneae,
105297,131169,fly,2,1,NA,NA,order,Diptera,
105298,131170,ant,3,1,NA,NA,family,Formicidae,
105299,131170,spider,2,1,NA,NA,order,Araneae,
105300,131170,moths,3,1,NA,NA,order,Lepidoptera,
105303,131174,beetle,4,1,NA,NA,order,Coleoptera,
105304,131175,beetle,2,1,NA,NA,order,Coleoptera,
105305,131175,moths,4,1,NA,NA,order,Lepidoptera,
105306,131175,spider,4,1,NA,NA,order,Araneae,
205212,131100,spider,2,1,NA,NA,suborder,Ananeomorphae,
205220,131111,spider,3,1,NA,NA,species,Hibana gracilis,
205221,131111,beetle,2,1,NA,NA,family,Ptinidae,
