"FoliageArthID","BeatSheetFK","CCGroup","Length","Quantity","PhotoURL","CCNotes","TaxonLevel","Taxon","TotalMass","NumberWeighed","TaxonID"
106023,131881,"beetle",2,1,NA,NA,"species","Microtonus sericans",0.9,1,1
106024,131882,"ant",3,1,NA,NA,"genus","Crematogaster",0.5,1,574052
106026,131884,"bee",2,1,NA,NA,"family","Braconidae",0,1,152867
106027,131884,"beetle",4,1,NA,NA,"order","Coleoptera",2.5,1,109216
106028,131884,"spider",2,2,NA,NA,"order","Araneae",1.1,2,82732
106029,131884,"leafhopper",4,1,NA,NA,"suborder","Auchenorrhyncha",NA,1,109167
106031,131885,"leafhopper",3,1,NA,NA,"family","Cicadellidae",2.7,1,109171
106032,131885,"other",2,1,NA,NA,"order","Psocodea",0.1,1,998435
106033,131886,"beetle",2,1,NA,NA,"species","Microtonus sericans",1.8,1,1
106034,131886,"bee",3,1,NA,NA,"family","Braconidae",1,1,152867
106035,131887,"ant",5,1,NA,NA,"family","Formicidae",NA,1,154193
106037,131887,"beetle",2,2,NA,NA,"family","Curculionidae",5.3,2,114666
106038,131888,"beetle",2,1,NA,NA,"family","Coccinellidae",1.3,1,114329
106039,131888,"beetle",3,1,NA,NA,"species","Microtonus sericans",0.4,1,1
106044,131895,"beetle",5,1,NA,NA,"family","Elateridae",9.1,1,113879
106045,131896,"other",3,1,NA,NA,"order","Trichoptera",0.3,1,115095
106046,131897,"leafhopper",2,1,NA,NA,"family","Cicadellidae",1,1,109171
106047,131897,"leafhopper",3,1,NA,NA,"family","Cicadellidae",1.6,1,109171
106048,131897,"beetle",2,1,NA,NA,"species","Microtonus sericans",2.4,1,1
106049,131898,"truebugs",3,1,NA,NA,"family","Miridae",1.7,1,104419
106050,131898,"grasshopper",2,1,NA,NA,"family","Gryllidae",0,1,102281
106051,131898,"other",10,1,NA,NA,"genus","Perlesta",4.4,1,103251
106052,131899,"other",10,1,NA,NA,"genus","Perlesta",NA,1,103251
106053,131901,"beetle",2,1,NA,NA,"species","Microtonus sericans",1,1,1
106055,131901,"beetle",2,1,NA,NA,"family","Curculionidae",2.7,1,114666
106169,131983,"grasshopper",5,1,NA,NA,"family","Gryllidae",0.7,1,102281
106172,131987,"beetle",6,1,NA,NA,"family","Elateridae",12.6,1,113879
106173,131987,"truebugs",2,1,NA,NA,"suborder","Heteroptera",0,1,103358
106176,131990,"beetle",4,1,NA,NA,"family","Elateridae",2.8,1,113879
106177,131990,"spider",2,1,NA,NA,"family","Thomisidae",0.9,1,871543
106181,131993,"beetle",7,1,NA,NA,"family","Cantharidae",5.7,1,113837
106182,131994,"beetle",12,1,NA,NA,"family","Elateridae",36,1,113879
106183,131995,"other",2,5,NA,NA,"order","Psocodea",2.7,5,998435
106184,131996,"beetle",5,1,NA,NA,"family","Mordellidae",4.6,1,114383
106185,131997,"beetle",6,1,NA,NA,"family","Cantharidae",5.9,1,113837
106188,132002,"beetle",4,1,NA,NA,"family","Elateridae",3.4,1,113879
106189,132002,"spider",2,1,NA,NA,NA,"Araneae",1.8,1,82732
106191,132004,"beetle",5,3,NA,NA,"family","Elateridae",32,3,113879
106192,132004,"beetle",4,1,NA,NA,"family","Elateridae",4.8,1,113879
106193,132004,"beetle",2,1,NA,NA,"species","Microtonus sericans",0.1,1,1
106194,132005,"beetle",3,1,NA,NA,"order","Psocodea",1.2,1,998435
106195,132005,"beetle",5,1,NA,NA,"family","Elateridae",11.7,1,113879
106197,132006,"ant",3,1,NA,NA,"genus","Crematogaster",0.7,1,574052
106198,132006,"beetle",2,1,NA,NA,"species","Microtonus sericans",1.7,1,1
106203,132010,"beetle",3,1,NA,NA,"family","Mordellidae",NA,1,114383
106204,132010,"beetle",4,1,NA,NA,"order","Coleoptera",NA,1,109216
106209,132012,"beetle",3,1,NA,NA,"family","Mordellidae",2.6,1,114383
106210,132012,"beetle",4,1,NA,NA,"family","Elateridae",4.7,1,113879
106211,132014,"beetle",4,1,NA,NA,"family","Elateridae",5.1,1,113879
106212,132015,"ant",3,2,NA,NA,"genus","Crematogaster",2.1,2,574052
107374,132748,"beetle",5,1,NA,NA,"order","Cantharidae",NA,1,113837
106477,132213,"beetle",2,1,NA,NA,"order","Coleoptera",NA,1,109216
106478,132213,"beetle",3,1,NA,NA,"family","Staphylinidae",0.5,1,113265
106479,132213,"other",3,1,NA,NA,"order","Psocodea",1.7,1,998435
106480,132214,"beetle",4,1,NA,NA,"species","Microtonus sericans",3.3,1,1
106482,132214,"unidentified",8,1,NA,NA,NA,NA,NA,1,NA
106483,132215,"leafhopper",2,1,NA,NA,"family","Cicadellidae",NA,1,109171
106485,132215,"beetle",2,1,NA,NA,"family","Curculionidae",3.1,1,114666
106487,132215,"grasshopper",3,1,NA,NA,"family","Gryllidae",0.9,1,102281
106490,132218,"beetle",4,1,NA,NA,"family","Mordellidae",2.8,1,114383
106500,132223,"leafhopper",3,1,NA,NA,"family","Cicadellidae",2.6,1,109171
106501,132223,"unidentified",5,1,NA,NA,NA,NA,NA,1,NA
106504,132227,"moths",4,1,NA,NA,"order","Lepidoptera",NA,1,117232
106506,132232,"aphid",2,1,NA,NA,"family","Aphididae",0.9,1,109191
106509,132234,"beetle",3,1,NA,NA,"family","Mordellidae",1,1,114383
106510,132234,"beetle",4,1,NA,NA,"family","Mordellidae",NA,1,114383
106520,132238,"other",3,1,NA,NA,"order","Psocodea",1.5,1,998435
106521,132238,"aphid",2,1,NA,NA,"family","Aphididae",1.2,1,109191
106526,132241,"beetle",5,1,NA,NA,"family","Cantharidae",NA,1,113837
106527,132241,"beetle",4,1,NA,NA,"family","Mordellidae",4.3,1,114383
106528,132241,"moths",6,1,NA,NA,"order","Lepidoptera",2.1,1,117232
106532,132243,"leafhopper",2,1,NA,NA,"family","Cicadellidae",2.5,1,109171
106533,132243,"moths",5,1,NA,NA,"order","Lepidoptera",3.9,1,117232
106540,132246,"beetle",3,2,NA,NA,"species","Microtonus sericans",2.6,2,1
106541,132246,"beetle",2,1,NA,NA,"family","Curculionidae",4,1,114666
106542,132246,"beetle",3,1,NA,NA,"family","Staphylinidae",2.1,1,113265
106543,132246,"beetle",6,1,NA,NA,"family","Elateridae",11.2,1,113879
106544,132246,"beetle",4,1,NA,NA,"family","Elateridae",5,1,113879
106546,132250,"spider",4,1,NA,NA,"order","Araneae",NA,1,82732
106547,132250,"spider",5,1,NA,NA,"order","Araneae",NA,1,82732
106548,132250,"beetle",10,1,NA,NA,"family","Cantharidae",NA,1,113837
106549,132250,"leafhopper",2,1,NA,NA,"family","Cicadellidae",NA,1,109171
106561,132255,"beetle",2,2,NA,NA,"species","Microtonus sericans",1.2,2,1
106562,132255,"beetle",3,1,NA,NA,"species","Microtonus sericans",2.2,1,1
106563,132257,"beetle",2,1,NA,NA,"family","Curculionidae",2.3,1,114666
106564,132257,"beetle",3,1,NA,NA,"family","Mordellidae",2.2,1,114383
106565,132257,"beetle",5,1,NA,NA,"family","Elateridae",5.6,1,113879
106566,132257,"beetle",5,1,NA,NA,"genus","Isomira",5,1,4
106569,132259,"beetle",5,2,NA,NA,"family","Elateridae",12.8,2,113879
106570,132260,"beetle",11,1,NA,NA,"family","Cantharidae",36.8,1,113837
106764,132398,"beetle",3,1,NA,NA,"species","Microtonus sericans",1.2,1,1
106765,132398,"beetle",3,1,NA,NA,"family","Mordellidae",2.1,1,114383
106766,132398,"beetle",4,1,NA,NA,"family","Elateridae",5.1,1,113879
106767,132398,"beetle",5,1,NA,NA,"family","Elateridae",6.7,1,113879
106769,132399,"beetle",4,1,NA,NA,"family","Elateridae",6,1,113879
106770,132399,"truebugs",2,1,NA,NA,"suborder","Heteroptera",0.5,1,103358
106777,132404,"beetle",3,1,NA,NA,"family","Mordellidae",3.2,1,114383
106778,132404,"beetle",4,1,NA,NA,"family","Elateridae",3.9,1,113879
106779,132406,"beetle",4,1,NA,NA,"family","Elateridae",6.1,1,113879
106783,132408,"beetle",4,1,NA,NA,"family","Elateridae",2.7,1,113879
106784,132408,"ant",3,1,NA,NA,"genus","Crematogaster",1.2,1,574052
106788,132410,"grasshopper",3,1,NA,NA,"family","Gryllidae",NA,1,102281
106790,132410,"spider",2,1,NA,NA,"family","Thomisidae",0.8,1,871543
106795,132413,"beetle",5,1,NA,NA,"family","Elateridae",9.5,1,113879
106797,132415,"beetle",5,1,NA,NA,"family","Elateridae",5.7,1,113879
106826,132431,"beetle",3,1,NA,NA,"family","Mordellidae",2.2,1,114383
106830,132436,"beetle",5,1,NA,NA,"family","Cantharidae",12.1,1,113837
206830,132436,"spider",2,2,NA,NA,"family","Thomisidae",2.2,2,871543
106831,132436,"beetle",4,1,NA,NA,"family","Elateridae",3.8,1,113879
106832,132439,"beetle",6,2,NA,NA,"family","Cantharidae",17.5,2,113837
106833,132439,"other",2,1,NA,NA,"order","Psocodea",0.4,1,998435
106834,132439,"other",3,1,NA,NA,"order","Psocodea",1.7,1,998435
106835,132443,"beetle",2,1,NA,NA,"species","Microtonus sericans",0.9,1,1
106843,132450,"other",3,1,NA,NA,"order","Psocodea",0.2,1,998435
106847,132453,"beetle",3,1,NA,NA,"species","Microtonus sericans",1.4,1,1
107306,132711,"beetle",4,1,NA,NA,"family","Elateridae",5.7,1,113879
107307,132711,"beetle",3,1,NA,NA,"family","Mordellidae",1.4,1,114383
107308,132711,"grasshopper",2,1,NA,NA,"family","Gryllidae",0.3,1,102281
107322,132721,"grasshopper",3,1,NA,NA,"family","Gryllidae",1.5,1,102281
107324,132722,"grasshopper",3,1,NA,NA,"genus","Oecanthus",0.3,1,102363
107325,132722,"truebugs",3,1,NA,NA,"family","Miridae",1.1,1,104419
107326,132722,"other",2,1,NA,NA,"order","Psocodea",0.7,1,998435
107327,132723,"beetle",3,1,NA,NA,"species","Microtonus sericans",1.6,1,1
107328,132723,"beetle",4,1,NA,NA,"family","Elateridae",5.3,1,113879
107329,132723,"other",4,1,NA,NA,"family","Hemerobiidae",2.8,1,115080
107331,132726,"beetle",5,1,NA,NA,"family","Elateridae",12.5,1,113879
107332,132726,"beetle",7,1,NA,NA,"family","Cantharidae",17.2,1,113837
107333,132726,"beetle",9,1,NA,NA,"family","Cantharidae",NA,1,113837
107341,132729,"beetle",3,1,NA,NA,"family","Elateridae",2.6,1,113879
107342,132729,"beetle",4,1,NA,NA,"family","Elateridae",4.4,1,113879
107343,132729,"beetle",5,1,NA,NA,"family","Elateridae",8.9,1,113879
107345,132731,"beetle",4,1,NA,NA,"family","Mordellidae",2.4,1,114383
107346,132731,"beetle",3,1,NA,NA,"species","Microtonus sericans",1.8,1,1
107347,132731,"truebugs",3,1,NA,NA,"suborder","Heteroptera",NA,1,103358
107348,132732,"beetle",2,2,NA,NA,"species","Microtonus sericans",1.5,2,1
107349,132732,"beetle",5,1,NA,NA,"family","Cantharidae",5.7,1,113837
107350,132732,"beetle",7,1,NA,NA,"family","Cantharidae",NA,1,113837
107352,132732,"beetle",5,1,NA,NA,"family","Elateridae",NA,1,113879
107353,132733,"beetle",7,1,NA,NA,"family","Elateridae",11,1,113879
107354,132734,"beetle",2,1,NA,NA,"species","Microtonus sericans",0.7,1,1
107355,132734,"beetle",4,1,NA,NA,"family","Elateridae",4,1,113879
107356,132735,"beetle",2,1,NA,NA,"species","Microtonus sericans",0.7,1,1
107357,132735,"beetle",4,1,NA,NA,"family","Mordellidae",NA,1,114383
107359,132737,"ant",4,1,NA,NA,"family","Formicidae",NA,1,154193
107360,132737,"beetle",5,1,NA,NA,"family","Cantharidae",7.8,1,113837
107361,132738,"beetle",5,1,NA,NA,"family","Cantharidae",8.5,1,113837
107362,132739,"beetle",3,1,NA,NA,"family","Mordellidae",NA,1,114383
207362,232739,"other",3,1,NA,NA,"order","Psocodea",1.9,1,998435
107366,132743,"leafhopper",3,1,NA,NA,"suborder","Auchenorrhyncha",NA,1,109167
107367,132744,"grasshopper",3,1,NA,NA,"order",NA,NA,1,NA
107368,132745,"beetle",4,1,NA,NA,"family","Mordellidae",2.8,1,114383
107369,132745,"beetle",5,1,NA,NA,"family","Elateridae",9.4,1,113879
107370,132745,"bee",4,1,NA,NA,"family","Braconidae",0.6,1,152867
107371,132746,"beetle",4,1,NA,NA,"family","Mordellidae",3,1,114383
107372,132746,"moths",3,1,NA,NA,NA,"Lepidoptera",0.1,1,117232
107958,133017,"beetle",6,1,NA,NA,"family","Elateridae",7.5,1,113879
107959,133017,"unidentified",2,1,NA,NA,"order","Hemiptera",0,1,103359
107960,133019,"beetle",6,1,NA,NA,"family","Cantharidae",14.7,1,113837
107961,133019,"beetle",5,1,NA,NA,"family","Elateridae",9.4,1,113879
107963,133019,"other",2,1,NA,NA,"order","Psocodea",1,1,998435
107964,133020,"beetle",2,1,NA,NA,"species","Microtonus sericans",0.5,1,1
107965,133021,"beetle",7,2,NA,NA,"family","Cantharidae",19.6,2,113837
107967,133022,"other",2,1,NA,NA,"order","Psocodea",0.6,1,998435
107968,133023,"beetle",6,1,NA,NA,"family","Elateridae",11.6,1,113879
107969,133024,"beetle",7,2,NA,NA,"family","Elateridae",24.6,2,113879
107970,133025,"beetle",7,1,NA,NA,"family","Cantharidae",6.9,1,113837
107971,133025,"beetle",6,2,NA,NA,"family","Elateridae",23,2,113879
107972,133025,"beetle",5,1,NA,NA,"family","Elateridae",9.4,1,113879
107973,133027,"beetle",2,1,NA,NA,"family","Curculionidae",2.7,1,114666
107974,133027,"beetle",3,1,NA,NA,"species","Microtonus sericans",2.1,1,1
107975,133027,"beetle",4,1,NA,NA,"family","Mordellidae",2.1,1,114383
107976,133027,"beetle",6,1,NA,NA,"family","Elateridae",10.6,1,113879
107977,133028,"beetle",4,1,NA,NA,"family","Elateridae",3.7,1,113879
107978,133028,"other",3,1,NA,NA,"order","Psocodea",NA,1,998435
107979,133029,"beetle",7,1,NA,NA,"family","Elateridae",10.6,1,113879
107985,133035,"beetle",4,1,NA,NA,"family","Elateridae",4.2,1,113879
107986,133035,"beetle",5,1,NA,NA,"family","Elateridae",9.5,1,113879
207986,133035,NA,3,1,NA,NA,"family","Curculionidae",2.6,1,114666
107987,133035,"beetle",4,1,NA,NA,"family","Mordellidae",NA,1,114383
107988,133035,"beetle",6,1,NA,NA,"family","Cantharidae",12.1,1,113837
107993,133038,"beetle",7,3,NA,NA,"family","Elateridae",26.5,3,113879
107994,133038,"beetle",5,1,NA,NA,"genus","Isomira",7.2,1,4
107996,133038,"beetle",4,2,NA,NA,"family","Mordellidae",4,2,114383
107997,133038,"beetle",3,1,NA,NA,"family","Mordellidae",1.5,1,114383
107999,133038,"aphid",2,1,NA,"lost, Aphididae","suborder","Sternorrhyncha",NA,0,109185
108001,133040,"spider",3,1,NA,"Lost","family","Thomisidae",0.9,0,871543
108002,133040,"beetle",7,2,NA,"Elateridae","family","Elateridae",20.7,2,113879
208003,133040,NA,7,1,NA,NA,"family","Cantharidae",12.5,1,113837
